,Marea,,,N%,,,C%,,,ADF%,,,ADL%,,,Cellulose%,,,_15N,,
Wave.,Full Model,Mean,S.D.,Full Model,Mean,S.D.,Full Model,Mean,S.D.,Full Model,Mean,S.D.,Full Model,Mean,S.D.,Full Model,Mean,S.D.,Full Model,Mean,S.D.
Intercept,116.849,125.063,41.520,1.612,1.162,0.342,59.220,58.980,3.293,59.108,59.547,4.280,35.437,36.527,3.734,25.957,25.905,2.377,-11.283,-11.154,1.466
667,-48.755,-48.395,4.268,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
668,-50.591,-50.244,4.330,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
669,-51.862,-51.528,4.390,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
670,-52.550,-52.232,4.447,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
671,-52.671,-52.375,4.512,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
672,-52.031,-51.764,4.561,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
673,-50.682,-50.448,4.596,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
674,-48.650,-48.446,4.622,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
675,-45.557,-45.392,4.632,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
676,-41.580,-41.456,4.642,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
677,-36.825,-36.743,4.667,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
678,-31.202,-31.168,4.699,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
679,-24.820,-24.835,4.759,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
680,-17.869,-17.932,4.854,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
681,-10.662,-10.770,4.970,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
682,-3.331,-3.481,5.083,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
